iter	Logloss
0	0.6871090332
1	0.6811534171
2	0.6753413479
3	0.6693083928
4	0.6632469719
5	0.6574434131
6	0.6518552195
7	0.6463701822
8	0.641019264
9	0.6356207441
10	0.630853437
11	0.625659032
12	0.6211995449
13	0.6167773371
14	0.6123901962
15	0.6076845075
16	0.6035188327
17	0.5995744017
18	0.5954481841
19	0.591446098
20	0.5876954759
21	0.583790692
22	0.579820542
23	0.57638022
24	0.5730688126
25	0.5696267774
26	0.5663501643
27	0.56303859
28	0.5598565467
29	0.55655728
30	0.5535849622
31	0.5508292333
32	0.54813469
33	0.5454089245
34	0.5427970386
35	0.5399471965
36	0.5374340032
37	0.534841339
38	0.5324839649
39	0.5301971574
40	0.5279448464
41	0.5255816071
42	0.523311001
43	0.521059432
44	0.5189966791
45	0.5169436741
46	0.514936406
47	0.5127137915
48	0.5107090254
49	0.50862936
50	0.5068162252
51	0.5049592222
52	0.5031542022
53	0.5016668721
54	0.5000190954
55	0.4981963648
56	0.4967780032
57	0.4952802571
58	0.4937802686
59	0.492384083
60	0.4907795709
61	0.4893657252
62	0.4879316864
63	0.4866102179
64	0.4851296749
65	0.4838206006
66	0.4825041249
67	0.4813762711
68	0.4800730915
69	0.4788515932
70	0.4775937859
71	0.4764211602
72	0.4754217649
73	0.4746781385
74	0.4735347393
75	0.4724151229
76	0.4714186685
77	0.4705083234
78	0.4693842519
79	0.4683606993
80	0.4672888047
81	0.4661800536
82	0.4652731807
83	0.4644832757
84	0.4635248288
85	0.4627609687
86	0.4619547843
87	0.4612319631
88	0.4605041027
89	0.4596875942
90	0.4590283718
91	0.4583368356
92	0.45760451
93	0.4569068332
94	0.4564703959
95	0.4557501283
96	0.4550960064
97	0.4544795571
98	0.4538403322
99	0.4532253641
