iter	Passed	Remaining
0	41	4112
1	74	3666
2	109	3532
3	141	3389
4	173	3290
5	204	3206
6	237	3152
7	269	3096
8	303	3073
9	336	3032
10	370	2998
11	402	2950
12	433	2898
13	465	2860
14	495	2809
15	529	2779
16	559	2732
17	590	2687
18	623	2656
19	655	2622
20	686	2582
21	720	2555
22	752	2519
23	785	2486
24	815	2445
25	847	2411
26	878	2374
27	910	2340
28	943	2309
29	975	2275
30	1007	2243
31	1038	2207
32	1068	2170
33	1100	2136
34	1134	2107
35	1166	2074
36	1198	2040
37	1229	2005
38	1262	1974
39	1294	1941
40	1325	1907
41	1355	1871
42	1385	1837
43	1416	1803
44	1449	1771
45	1481	1738
46	1513	1706
47	1545	1674
48	1578	1642
49	1608	1608
50	1639	1574
51	1672	1544
52	1702	1510
53	1732	1475
54	1764	1443
55	1796	1411
56	1827	1378
57	1859	1346
58	1891	1314
59	1923	1282
60	1955	1250
61	1985	1216
62	2017	1184
63	2047	1151
64	2078	1119
65	2111	1087
66	2143	1055
67	2175	1023
68	2207	991
69	2237	958
70	2269	927
71	2300	894
72	2333	863
73	2364	830
74	2395	798
75	2426	766
76	2457	734
77	2489	702
78	2525	671
79	2557	639
80	2588	607
81	2620	575
82	2652	543
83	2684	511
84	2715	479
85	2747	447
86	2779	415
87	2819	384
88	2852	352
89	2883	320
90	2913	288
91	2945	256
92	2977	224
93	3010	192
94	3041	160
95	3072	128
96	3104	96
97	3135	63
98	3168	32
99	3199	0
