iter	Passed	Remaining
0	17	3453
1	29	2895
2	40	2678
3	52	2577
4	63	2466
5	74	2397
6	88	2452
7	100	2403
8	112	2391
9	124	2374
10	137	2365
11	150	2352
12	164	2362
13	175	2334
14	186	2300
15	197	2270
16	208	2240
17	218	2211
18	231	2203
19	243	2189
20	254	2168
21	266	2153
22	278	2140
23	289	2120
24	300	2101
25	310	2076
26	321	2059
27	333	2050
28	345	2039
29	357	2027
30	369	2012
31	380	1995
32	390	1975
33	401	1958
34	411	1940
35	423	1929
36	436	1922
37	448	1913
38	461	1903
39	473	1894
40	486	1885
41	499	1878
42	511	1868
43	523	1856
44	535	1844
45	548	1836
46	560	1824
47	573	1816
48	585	1805
49	598	1794
50	610	1783
51	622	1772
52	636	1764
53	648	1752
54	660	1741
55	672	1729
56	685	1720
57	697	1706
58	708	1693
59	719	1679
60	730	1664
61	742	1652
62	754	1639
63	765	1627
64	776	1612
65	787	1598
66	798	1584
67	808	1570
68	819	1555
69	830	1542
70	839	1525
71	850	1511
72	862	1500
73	874	1488
74	885	1476
75	896	1462
76	907	1449
77	918	1436
78	929	1423
79	939	1409
80	950	1396
81	961	1383
82	972	1371
83	983	1357
84	996	1348
85	1008	1336
86	1018	1322
87	1029	1309
88	1039	1296
89	1049	1283
90	1060	1269
91	1072	1258
92	1083	1246
93	1093	1233
94	1104	1220
95	1115	1208
96	1125	1194
97	1135	1181
98	1145	1168
99	1156	1156
100	1166	1143
101	1179	1132
102	1190	1120
103	1200	1107
104	1210	1095
105	1221	1082
106	1230	1069
107	1241	1057
108	1251	1044
109	1261	1032
110	1274	1021
111	1285	1010
112	1295	997
113	1305	984
114	1317	974
115	1328	961
116	1338	949
117	1349	937
118	1359	925
119	1370	913
120	1380	901
121	1391	889
122	1402	877
123	1412	865
124	1422	853
125	1433	841
126	1444	830
127	1455	818
128	1466	806
129	1476	795
130	1487	783
131	1500	772
132	1510	760
133	1521	749
134	1531	737
135	1542	725
136	1552	713
137	1562	702
138	1573	690
139	1582	678
140	1593	666
141	1604	655
142	1615	644
143	1626	632
144	1637	620
145	1646	609
146	1657	597
147	1667	585
148	1677	574
149	1687	562
150	1699	551
151	1709	539
152	1720	528
153	1730	516
154	1740	505
155	1750	493
156	1761	482
157	1771	470
158	1780	459
159	1790	447
160	1800	436
161	1813	425
162	1823	413
163	1833	402
164	1843	391
165	1853	379
166	1864	368
167	1874	357
168	1884	345
169	1894	334
170	1905	323
171	1916	311
172	1926	300
173	1936	289
174	1947	278
175	1958	267
176	1968	255
177	1978	244
178	1988	233
179	1998	222
180	2009	210
181	2020	199
182	2030	188
183	2039	177
184	2051	166
185	2061	155
186	2071	144
187	2081	132
188	2091	121
189	2101	110
190	2111	99
191	2123	88
192	2132	77
193	2142	66
194	2152	55
195	2162	44
196	2172	33
197	2181	22
198	2192	11
199	2202	0
